container,unittitle
PM8a,"Museum of Modern Art: ""Thinking Print: Books to Billboards, 1980-95"""
PM8a,"Padiglione d'Art Contemporanea: ""Omaggio a Leo Castelli"""
PM8a,"The Art Museum, Florida International University: ""Miami Pops!"""
PM8a,"Winston Wächter Fine Art: ""Pop: Then and Now, A Selection of Work"""
PM8a,"Miami Art Museum: ""Dream Collection Gifts"""
PM14a,General
PM14a,"Murray Feldman Gallery, Pacific Design Center: ""Gemini G.E.L.: Celebrating Thirty Years"""
PM8a,"Dallas Museum of Art: ""Contemporary Art 1950-2000: Movements & Figures"""
PM8a,"Sezon Museum of Art: ""Proof Positive: Forty Years of Contemporary American Printmaking at ULAE, 1957–1997"""
PM8a,"Museum of Modern Art: ""Objects of Desire: The Modern Still Life"""
PM8a,"Solomon R. Guggenheim Museum: ""From Dürer to Rauschenberg: A Quintessence of Drawing, Masterworks from the Albertina and the Guggenheim"""
PM8a,"Galleria d'Arte Moderna e Contemporanea: ""Dadaismo, Dadaismi: Da Duchamp a Warhol"""
PM14a,"Haus der Kunst, Munich: ""Deep Storage: Arsenale der Erinnerung (Arsenal of Memory)"""
PM8a,"Andersen Window Gallery, Walker Art Center: ""Art of the 1960s: Media is the Message"""
PM8a,"Leo Castelli: ""The Artists of the Castelli Gallery 1957–1997: Forty Years of Exploration and Innovation, Part One"""
PM14a,General
PM8a,"World Health Organization Headquarters, Geneva: ""The Edge of Awareness"""
PM8a,"Biblioteca Luis Ángel Arango: ""Graphicstudio: El Campo Expandido de la Gráfica"""
PM14a,"Museum of Contemporary Art, Los Angeles: ""Out of Actions: Between Performance and the Object, 1949–1979"""
PM14a,General
PM14a,"Winston Wächter Fine Art: ""Pop"""
PM8a,"Paine Webber Art Gallery: ""Comfort Zone: Furniture by Artists"""
PM8a,"Marcel Sitcoske Gallery: ""Re: Rauschenberg"""
PM8a,"Friends of Photography, Ansel Adams Center: ""Innovation/Imagination: Fifty Years of Polaroid Photography"""
PM8a,"Whitney Museum of American Art: ""The American Century: Art and Culture 1900–2000, Part II, 1950–2000"""
PM14a,"Miami Art Museum: ""New Acquisitions: Dream Collection"""
PM14a,"Museum of Contemporary Art, Los Angeles: ""Panza: The Legacy of a Collector"""
PM14a,General
PM8a,"Knoedler and Company: ""Pasted Pictures: Collage and Abstraction in the Twentieth Century"""
PM8a,"Museum of Modern Art: ""Making Choices"""
PM8a,"Museum of Contemporary Art, Chicago: ""Age of Influence: Reflections in the Mirror of American Culture"""
PM8a,"John and Mable Ringling Museum of Art: ""Sarasota Biennial"""
PM8a,"Rooseum Center for Contemporary Art: ""Century of Innocence: The History of the White Monochrome"""
PM8a,"Tate Modern: ""Performing Bodies: Masquerade"""
PM8a,"United Nations Visitors' Lobby: ""For a Better World: Posters from the United Nations 1945 to Present"""
PM14a,"National Gallery of Art: ""Twentieth-Century American Art: The Ebsworth Collection"""
PM14a,"Austin Museum of Art: ""The New Frontier: Art and Television, 1960–65"""
PM14a,General
PM8a,"Blanton Museum of Art, University of Texas, Austin: ""Rembrandt to Rauschenberg: Building the Collection"""
PM8a,"Solomon R. Guggenheim Museum: ""The Global Guggenheim: Selections from the Extended Collection"""
PM14a,"Museum of Contemporary Art, Los Angeles: ""A Room of Their Own: From Rothko to Rauschenberg"""
PM8a,"Centre Georges Pompidou, Musée National d'Art Moderne: ""Les Années Pop: 1956–1968 (The Pop years)"""
PM8a,"Joslyn Art Museum: ""An American Anthem: 300 Years of Painting from the Butler Institute of American Art"""
PM8a,"Rose Art Museum, Brandeis University: ""A Defining Generation: Then and Now, 1961 and 2001"""
PM8a,"National Gallery of Art: ""Best Impressions: Thirty-five Years of Prints and Sculpture from Gemini G.E.L."""
PM14a,General
PM8a,"Von Liebig Art Center: ""America's Leading Pop Artists, Selections from the University of South Florida Contemporary Art Museum"""
PM8a,"Sonnabend Gallery: ""The Story of E.A.T.: Experiments in Art and Technology 1960-2002"""
PM8a,"Meridian International Center: ""True Colors: Meditations on the American Spirit"""
PM8a,"Tang Teaching Museum and Art Gallery, Skidmore College: ""From Pop to Now: Selections from the Sonnabend Collection"""
PM8a,"Museum of Modern Art, Queens: ""To Be Looked At: Painting and Sculpture from the Collection"""
PM14a,"Selby Gallery, Ringling School of Art and Design: ""REAL(ist) Men"""
PM14a,"Charles H. Wright Museum of African American History: ""In the Spirit of Martin: The Living Legacy of Dr. Martin Luther King, Jr."""
PM14a,"Addison Gallery of American Art, Phillips Academy: ""Trisha Brown: Dance and Art in Dialogue, 1961–2001"""
PM14a,"Whitney Museum of American Art: ""An American Legacy, a Gift to New York"""
PM14a,"Miami Art Museum: ""Miami Currents: Linking Collection and Community"""
PM14a,General
PM14a,"NTT InterCommunication Center, Tokyo: ""E.A.T.—The Story of Experiments in Art and Technology"""
PM14a,"Frederick R. Weisman Art Museum, University of Minnesota: ""Trace Evidence"""
PM14a,"Guggenheim Hermitage Museum: ""American Pop Icons"""
PM14a,"Janice Mason Art Museum: ""The Wier Show: Contemporary Art from the Private Collection of Pat and Dick Wier"""
PM14a,"Baltimore Museum of Art: ""Work Ethic"""
PM8a,"Tate Liverpool: ""Art, Lies and Videotape: Exposing Performance"""
PM8a,"Miami Art Museum, Between Art and Life: ""From Joseph Cornell to Gabriel Orozco"""
PM8a,"Dumbo Arts Center: ""Sixth Annual Winter Auction"""
PM8a,General
PM8a,"Haus der Kunst: ""Black Paintings"""
PM15,"Gagosian Gallery: ""Pop Art Is . . ."""
PM8a,"Istituto Veneto di Scienze Lettere ed Arti: ""Glasstress"""
PM8a,"Gemini G.E.L. at Joni Moisant Weyl: ""Pacific Standard Editions"""
,Solo and Two-Person
PM9,"Galleria dell'Obelisco: ""Bob Rauschenberg: Scatole e Feticci Personali"""
PM9,"Stable Gallery: ""Rauschenberg: Paintings and Sculpture; Cy Twombly: Paintings and Drawings"""
PM14b,"Galleria la Tartaruga: ""Rauschenberg"""
PM9,"Leo Castelli: ""Robert Rauschenberg"""
PM14b,"Galerie 22: ""Rauschenberg, Twombly: zwei amerikanische Maler"""
PM14b,"Galerie Daniel Cordier: ""Robert Rauschenberg"""
PM9,"Galleria dell'Ariete, Milan: ""Rauschenberg"""
PM9,"Leo Castelli: ""Rauschenberg"""
PM9,"Leo Castelli: ""Rauschenberg"""
PM9,"Galerie Ileana Sonnabend: ""Rauschenberg"""
PM9,"Gian Enzo Sperone Arte Moderna: ""Rauschenberg"""
PM9,"Galerie Ileana Sonnabend: ""Untitled 1953–1954"" and ""Thirty-Four Dante Drawings"""
PM9,"Dwan Gallery: ""Rauschenberg at Dwan"""
PM9,"Leo Castelli: ""Robert Rauschenberg: Revolvers"""
PM9,"Galerie Ileana Sonnabend: ""Rauschenberg: 25 Dessins"""
PM9,"Leo Castelli: ""White Paintings 1951"""
PM9,"Museum of Modern Art: ""Rauschenberg: Soundings"""
PM9,"Ace Gallery, Los Angeles: ""Robert Rauschenberg: Carnal Clocks"""
PM9,"Leo Castelli: ""Carnal Clocks"""
PM9,"Douglas Gallery: ""Carnal Clocks"""
PM9,"Castelli Graphics: ""Stoned Moon Series"""
PM9,"Newport Harbor Art Museum: ""Robert Rauschenberg in Black and White: Paintings 1962–63"""
PM9,"Institute of Contemporary Art, University of Pennsylvania: ""Rauschenberg: Graphic Art"""
PM14b,"Dayton's Gallery 12: ""Rauschenberg Currents"""
PM9,"Automation House; Castelli Graphics: ""Rauschenberg Currents"""
PM9,"Pasadena Art Museum: ""Robert Rauschenberg"""
PM9,"Minneapolis Institute of Arts: ""Robert Rauschenberg: Prints 1948/1970"""
PM14b,"Visual Arts Gallery, School of Visual Arts: ""Robert Rauschenberg: New Works"""
PM14b,"Wabash Transit Gallery, School of the Art Institute of Chicago: ""Robert Rauschenberg: Syn-Tex Series"""
PM9,"Estudio Actual: ""Robert Rauschenberg: Autobiografia"""
PM9,"Dayton's Gallery 12: ""Robert Rauschenberg: Syn-Tex Series and Cardbirds, Constructions"""
PM9,"John Berggruen Gallery: ""Robert Rauschenberg"""
PM9,"Multicenter Grafica: ""Rauschenberg"""
PM9,"Castelli Graphics: ""Robert Rauschenberg: Tares"""
PM9,"Leo Castelli and Castelli Graphics: ""Made in Tampa: Prints + Clay Pieces"""
PM9,"Ace Gallery, Los Angeles: ""White Paintings"""
PM9,"Ace Gallery, Vancouver: ""White Paintings"""
PM9,"The Mayor Gallery: ""Robert Rauschenberg: Combine Drawings"""
PM9,"Sonnabend, Paris: ""Early Egyptian Series"""
PM9,"Musée d'Art et d'Industrie: ""Robert Rauschenberg, Sarkis Zabunyan"""
PM9,"The Library Gallery, University of South Florida: ""Rauschenberg at Graphicstudio"""
PM14b,"Sonnabend, Paris: ""Robert Rauschenberg"""
PM9,"Gemini G.E.L.: ""Hoarfrost Editions"""
PM9,"The Israel Museum: ""Rauschenberg: Works Made in Israel"""
PM9,"Leo Castelli: ""Robert Rauschenberg and Cy Twombly"""
PM9,"Lucio Amelio: ""Robert Rauschenberg"""
PM9,"Galerie Burén: ""Robert Rauschenberg: Pages and Fuses"""
PM9,"Los Angeles County Museum of Art: ""Robert Rauschenberg's Pages and Fuses"""
PM9,"Leo Castelli and Sonnabend Gallery: ""Hoarfrosts"""
PM9,"Gemini G.E.L.: ""Hoarfrost Editions"""
PM9,"Margo Leavin Gallery: ""Rauschenberg: Hoarfrost Editions from Gemini G.E.L."""
PM9,"Dayton's Gallery 12: ""Robert Rauschenberg: Hoarfrost Series"""
PM9,"Ace Gallery, Vancouver: ""Rauschenberg: Hoarfrost"""
PM9,"Galerie Sonnabend: ""Rauschenberg: Hoarfrost"""
PM9,"Gemini G.E.L.: ""Bones and Unions"""
PM9,"Visual Arts Museum, School of Visual Arts: ""Robert Rauschenberg: Twenty-Six Years of Printmaking"""
PM14b,"Museo d'Arte Moderna Ca' Pesaro: ""Robert Rauschenberg"""
PM9,"Leo Castelli: ""Bones and Unions—Ahmedabad, India 1975"""
PM9,"Galerie D: ""Rauschenberg: Tampa Drawings"""
PM9,"Galerie H. M.: ""Rauschenberg: Hoarfrost"""
PM9,"Galleriet: ""Rauschenberg: The Bones from Ahmedabad"""
PM9,"Margo Leavin Gallery and Grunwald Center for Graphic Arts: ""Rauschenberg at Gemini: 1967–1976"""
PM9,"Galleriet: ""Robert Rauschenberg: The Cardbirds"""
PM9,"Getler/Pall: ""Robert Rauschenberg: Prints"""
PM9,"Museum of Modern Art: ""Robert Rauschenberg"""
PM9,"Leo Castelli; Sonnabend Gallery: ""Spreads and Scales"""
PM9,"Deland Museum: ""Robert Rauschenberg"""
PM10,"San Francisco Museum of Modern Art: ""Robert Rauschenberg"""
PM10,"Albright-Knox Art Gallery: ""Robert Rauschenberg"""
PM10,"Janie C. Lee Gallery: ""Rauschenberg Hoarfrosts, Jammers, Spreads and Scales"""
PM10,"Galleriet: ""Robert Rauschenberg: Horsefeathers"""
PM10,"The Art Institute of Chicago: ""Robert Rauschenberg"""
PM10,"Muzeum Narodwe w Warszawie: ""Rauschenberg"""
PM10,"Mayor Gallery: ""Robert Rauschenberg: An Exhibition of Recent Work"""
PM10,"Gemini G.E.L.: ""Publicons"""
PM10,"Castelli Graphics: ""Publicons"""
PM14b,"Leo Castelli: ""Rauschenberg: A Bunch of Prints"""
PM14b,"Vancouver Art Gallery: ""Robert Rauschenberg: Works from Captiva"""
PM10,"Sonnabend Gallery: ""Two New Works by Robert Rauschenberg"""
PM10,"Richard Gray Gallery: ""Rauschenberg: New Works"""
PM14b,"Richard Hines Gallery: ""Spreads and Scales"""
PM10,"Fendrick Gallery: ""Beyond the Illustrated Book: Rauschenberg's Trace Suspectes"""
PM10,"Kunsthalle Tübingen: ""Robert Rauschenberg: Das zeichnerische Werk"""
PM10,"Center for Music, Drama and Art, Lake Placid: ""Hiccups"""
PM10,"Musée de Toulon: ""Rauschenberg"""
PM10,"Multiples: ""Rauschenberg"""
PM10,"Sonnabend Gallery: ""Slides"""
PM10,"Castelli Graphics: ""Robert Rauschenberg: Rookery Mounds Lithographs and Etchings from Glacial Decoy"""
PM10,"Gallery of Fine Art, Edison Community College: ""Rauschenberg"""
PM14b,"Visual Arts Museum, School of Visual Arts: ""Variable Editions"""
PM10,"Galerie Ileana Sonnabend, Paris: ""Robert Rauschenberg: A Portfolio of Twelve Photographs"""
PM15,"Leo Castelli: ""Spreads and Scales"""
PM10,"Louisiana Museum of Modern Art, Humlebaek: ""Rauschenberg: Werke 1950–1980 (Robert Rauschenberg)"""
PM10,"Magnuson Lee Gallery: ""Robert Rauschenberg: Lithographs, Etchings and Photographs"""
PM10,"Galleriet: ""Rookery Mounds and More"""
PM10,"Galerie Watari:""Robert Rauschenberg: A Portfolio of Twelve Photographs"""
PM10,"Tate Gallery: ""Robert Rauschenberg"""
PM10,"Clara Hatton Gallery and Lory Student Center Gallery, Colorado State University: ""Rauschenberg in the Rockies"""
PM10,"Styria Studios: ""Arcanum I–XIII"""
PM14b,"Neuberger Museum of Art, Purchase College, State University of New York: ""Robert Rauschenberg: Selections from the Permanent Collection"""
PM10,Flow Ace Gallery
PM10,Leo Castelli Gallery
PM10,"Gallery of Fine Art, Edison Community College: ""The First Footage of the 1/4 Mile or 2 Furlong Piece"""
PM10,"Gloria Luria Gallery: ""Photems"""
PM10,"Hara Museum of Contemporary Art: ""Rauschenberg Print Exhibition"""
PM10,"Castelli Graphics: ""Robert Rauschenberg: The Razorback Bunch I–VII"""
PM10,"Galleriet: ""Arcanum I–XIII"""
PM10,"Gemini G.E.L.: ""7 Characters"""
PM10,"Flow Ace Gallery: ""Robert Rauschenberg: Sculpture"""
PM14b,"Aarhus Kunstmuseum, Denmark: ""Rauschenberg Fotografier"""
PM15PM14b,"Leo Castelli; Sonnabend Gallery: ""Rauschenberg on Greene Street"" (2 folders)"
PM10,"Thomas Babeor Gallery: ""7 Characters"""
PM10,"Gallery of Fine Art, Edison Community College: ""The Second Footage of the 1/4 Mile or 2 Furlong Piece"""
PM11,"Rossini Opera Festival: ""Rauschenberg Performances 1954/1979"""
PM11,"Douglas Elliot Gallery: ""Rauschenberg Photos"""
PM11,"Castelli Graphics: ""Rauschenberg: Photogravures"""
PM11,"Marianne Friedland Gallery: ""Important Works by Robert Rauschenberg"""
PM11,"Cooper Union: ""Rauschenberg/Performance"""
PM11,"Gallery of the Port Arthur Public Library: ""The Robert Rauschenberg Exhibition"""
PM11,"Fondation Maeght: ""Robert Rauschenberg: Peintures récentes"""
PM11,"Allen Street Gallery: ""Robert Rauschenberg: Photem Series I"""
PM11,"Fay Gold Gallery: ""Rauschenberg and Dine"""
PM11,"Sonnabend Gallery: ""Robert Rauschenberg: New Works"""
PM14b,"Heland Thordén Wetterling Galleries: ""Robert Rauschenberg"""
PM11,"Gemini G.E.L.: ""Robert Rauschenberg"""
PM14b,"John and Mable Ringling Museum of Art: ""Robert Rauschenberg: Works from the Salvage Series"""
PM11,"National Art Museum of China: ""Rauschenberg Overseas Culture Interchange: ROCI CHINA"""
PM11,"Castelli Graphics: ""Sling-Shots Lit"""
PM14b,"Contemporary Arts Museum, Houston: ""Robert Rauschenberg, Work from Four Series: A Sesquicentennial Exhibition"""
PM11,"Gallery of Fine Art, Edison Community College: ""Rauschenberg: Newest Continuation of the 1/4 Mile or 2 Furlong Piece"""
PM11,"Visual Arts Museum, School of Visual Arts: ""Rauschenberg Photos and Photems"""
PM11,"Acquavella Contemporary Art: ""Robert Rauschenberg: Drawings 1958–1968"""
PM14b,"Contemporary Arts Museum, Houston: ""Robert Rauschenberg: Photographs 1949-1984"""
PM11,"Galerie Denise René Hans Mayer: ""Robert Rauschenberg: Neue Arbeiten"""
PM14b,"BlumHelman Gallery: ""Robert Rauschenberg: Works on Paper: 1970–1983"""
PM11,"Waddington Galleries: ""Robert Rauschenberg: Gluts"""
PM11,"Heland Wetterling Gallery: ""Robert Rauschenberg: Skupturer and Målningar"""
PM14b,"Museo Nacional de Bellas Artes: ""Rauschenberg Overseas Culture Interchange: ROCI CUBA"""
PM11,"M. Knoedler: ""Rauschenberg: New Drawings from the Passes Series"""
PM14b,"BMW Pavilion: ""Robert Rauschenberg: Art Car und neue Objekte"""
PM14b,"Galerie Isy Brachot: ""Robert Rauschenberg: Gluts"""
PM14b,"Galerie Jamileh Weber: ""Robert Rauschenberg: Paintings and Gluts"""
PM11,"M. Knoedler: ""Robert Rauschenberg: Shiners, Gluts, Urban Bourbons"""
PM11,"Universal Limited Art Editions: ""Soviet/American Array"""
PM11,"Gemini G.E.L.; National Gallery, Yonaga City (Japan)"
PM11,DALLAS CARES; Serigraphs
PM11,"Fabian Carlsson Gallery: ""Robert Rauschenberg"""
PM11,"Akira Ikeda Gallery: ""Robert Rauschenberg: New Paintings"""
PM11,"Schwartz Cierlak Gallery: ""Prints 1965-1982"""
PM14b,"Fred Hoffman Gallery and Manny Silverman Gallery: ""Robert Rauschenberg, The Gemini Works: 1967–1988"""
PM11,"M. Knoedler: ""Robert Rauschenberg: Works"""
PM11,"Projects Room, Scott Hanson Gallery: ""Robert Rauschenberg: China Mix"""
PM11,"Galerie Montaigne: ""Peintures, Dessins, Editions"""
PM11PM15,"Castelli Graphics: ""Rauschenberg: Currents '70"""
PM15,"M. Knoedler: ""Robert Rauschenberg: Works on Paper"""
PM11,"Runkel-Hue-Williams; Lang and O'Hara: ""Robert Rauschenberg: Paintings 1962–1980"""
PM11,"Galerie Fabien Boulakia: ""Rauschenberg"""
PM11,"Galleri Lempertz Contempora: ""Robert Rauschenberg: Prints 1969–1970"""
PM11,"Fondation Vincent Van Gogh: ""Roy Lichtenstein, Robert Rauschenberg: 38 Oeuvres gravées de 1965 à 1989"""
PM11,"Feigen: ""Robert Rauschenberg: Gluts"""
PM11,"Scott Hanson Gallery: ""Robert Rauschenberg: Paintings 1962–1970"""
PM11,"Galerie Baudoin Leon: ""Robert Rauschenberg Polaroids"""
PM11,"Galleria d'arte il Gabbiano: ""Robert Rauschenberg: Dipinti recenti"""
PM11,"Appiani Arte Trentadue: ""Robert Rauschenberg: Dipinti recenti"""
PM11,"Simmons Visual Arts Center, Brenau University: ""Robert Rauschenberg: Print Survey in Themes, 1952–1992"""
PM11,"Leeds Gallery, University of Texas at Austin: ""Robert Rauschenberg: Prints from the Art Collection of the Harry Ransom Humanities Research Center"""
PM11,"M. Knoedler: ""Rauschenberg: Bicycloids, Urban Bourbons + Eco-Echo"""
PM11,"Kunstsammlung Nordrhein-Westfalen: ""Robert Rauschenberg"""
PM11,"Wetterling Teo Gallery: ""Robert Rauschenberg: New Works"""
PM12,"Sonnabend Gallery: ""Rauschenberg: Carnal Clocks, Cardboards, Jammers"""
PM12,"Solomon R. Guggenheim Museum: ""Robert Rauschenberg: A Retrospective"""
PM12,"Gemini G.E.L.: ""Darryl Pottorf/Robert Rauschenberg: Marrakitch, Quattro Mani/Marrakech, The Moroccan Series"""
PM12,"Versicherungskammer Bayern: ""Rauschenberg: Posters"""
PM12,"Eckert Fine Art: ""Robert Rauschenberg: Beamers"""
PM12,"Galerie Jamileh Weber: ""Robert Rauschenberg: Japanese Recreational Clayworks"""
PM12,"Palazzo dei Diamanti: ""Rauschenberg"""
PM12,"University Art Gallery, California State University: ""Robert Rauschenberg, Artist-Citizen: Posters for a Better World"""
PM12,"DJT Fine Art: ""Robert Rauschenberg: Primarily Prints"""
PM12,"Jonathan O'Hara Gallery: ""Robert Rauschenberg: Transfer Drawings from the 1960s"""
PM12,"Craig F. Starr Associates: ""Accident: Rauschenberg's Printmaking Breakthrough, 1962–65"""
